,title,cast,crew,genres,keywords
0,Avatar,"['SamWorthington', 'ZoeSaldana', 'SigourneyWeaver']",['JamesCameron'],"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['cultureclash', 'future', 'spacewar', 'spacecolony', 'society', 'spacetravel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alienplanet', 'cgi', 'marine', 'soldier', 'battle', 'loveaffair', 'antiwar', 'powerrelations', 'mindandsoul', '3d']"
1,Pirates of the Caribbean: At World's End,"['JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley']",['GoreVerbinski'],"['Adventure', 'Fantasy', 'Action']","['ocean', 'drugabuse', 'exoticisland', 'eastindiatradingcompany', ""loveofone'slife"", 'traitor', 'shipwreck', 'strongwoman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']"
2,Spectre,"['DanielCraig', 'ChristophWaltz', 'LéaSeydoux']",['SamMendes'],"['Action', 'Adventure', 'Crime']","['spy', 'basedonnovel', 'secretagent', 'sequel', 'mi6', 'britishsecretservice', 'unitedkingdom']"
3,The Dark Knight Rises,"['ChristianBale', 'MichaelCaine', 'GaryOldman']",['ChristopherNolan'],"['Action', 'Crime', 'Drama', 'Thriller']","['dccomics', 'crimefighter', 'terrorist', 'secretidentity', 'burglar', 'hostagedrama', 'timebomb', 'gothamcity', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragichero', 'terrorism', 'destruction', 'catwoman', 'catburglar', 'imax', 'flood', 'criminalunderworld', 'batman']"
4,John Carter,"['TaylorKitsch', 'LynnCollins', 'SamanthaMorton']",['AndrewStanton'],"['Action', 'Adventure', 'ScienceFiction']","['basedonnovel', 'mars', 'medallion', 'spacetravel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgarriceburroughs', 'alienrace', 'superhumanstrength', 'marscivilization', 'swordandplanet', '19thcentury', '3d']"
5,Spider-Man 3,"['TobeyMaguire', 'KirstenDunst', 'JamesFranco']",['SamRaimi'],"['Fantasy', 'Action', 'Adventure']","['dualidentity', 'amnesia', 'sandstorm', ""loveofone'slife"", 'forgiveness', 'spider', 'wretch', 'deathofafriend', 'egomania', 'sand', 'narcism', 'hostility', 'marvelcomic', 'sequel', 'superhero', 'revenge']"
6,Tangled,"['ZacharyLevi', 'MandyMoore', 'DonnaMurphy']",['ByronHoward'],"['Animation', 'Family']","['hostage', 'magic', 'horse', 'fairytale', 'musical', 'princess', 'animation', 'tower', 'blondewoman', 'selfishness', 'healingpower', 'basedonfairytale', 'duringcreditsstinger', 'healinggift', 'animalsidekick']"
7,Avengers: Age of Ultron,"['RobertDowneyJr.', 'ChrisHemsworth', 'MarkRuffalo']",['JossWhedon'],"['Action', 'Adventure', 'ScienceFiction']","['marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'vision', 'superheroteam', 'duringcreditsstinger', 'marvelcinematicuniverse', '3d']"
8,Harry Potter and the Half-Blood Prince,"['DanielRadcliffe', 'RupertGrint', 'EmmaWatson']",['DavidYates'],"['Adventure', 'Fantasy', 'Family']","['witch', 'magic', 'broom', 'schoolofwitchcraft', 'wizardry', 'apparition', 'teenagecrush', 'werewolf']"
9,Batman v Superman: Dawn of Justice,"['BenAffleck', 'HenryCavill', 'GalGadot']",['ZackSnyder'],"['Action', 'Adventure', 'Fantasy']","['dccomics', 'vigilante', 'superhero', 'basedoncomicbook', 'revenge', 'superpowers', 'clarkkent', 'brucewayne', 'dcextendeduniverse']"
10,Superman Returns,"['BrandonRouth', 'KevinSpacey', 'KateBosworth']",['BryanSinger'],"['Adventure', 'Fantasy', 'Action', 'ScienceFiction']","['savingtheworld', 'dccomics', 'invulnerability', 'sequel', 'superhero', 'basedoncomicbook', 'kryptonite', 'superpowers', 'superhumanstrength', 'lexluthor']"
11,Quantum of Solace,"['DanielCraig', 'OlgaKurylenko', 'MathieuAmalric']",['MarcForster'],"['Adventure', 'Action', 'Thriller', 'Crime']","['killing', 'undercover', 'secretagent', 'britishsecretservice']"
12,Pirates of the Caribbean: Dead Man's Chest,"['JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley']",['GoreVerbinski'],"['Adventure', 'Fantasy', 'Action']","['witch', 'fortuneteller', 'bondage', 'exoticisland', 'monster', 'captain', 'cardgame', 'eastindiatradingcompany', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']"
13,The Lone Ranger,"['JohnnyDepp', 'ArmieHammer', 'WilliamFichtner']",['GoreVerbinski'],"['Action', 'Adventure', 'Western']","['texas', 'horse', 'survivor', 'texasranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'loneranger', 'comanche', 'theloneranger', 'tonto']"
